PGN	Parameter Group Label	SPN	Name	Data Range
0	Torque/Speed Control 1	695	Engine Override Control Mode	0 to 3
0	Torque/Speed Control 1	696	Engine Requested Speed Control Conditions	0 to 3
0	Torque/Speed Control 1	897	Override Control Mode Priority	0 to 3
0	Torque/Speed Control 1	898	Engine Requested Speed/Speed Limit	"0 to 8,031.875 rpm"
0	Torque/Speed Control 1	518	Engine Requested Torque/Torque Limit	-125 to 125 %
0	Torque/Speed Control 1	3349	TSC1 Transmission Rate	0 to 7
0	Torque/Speed Control 1	3350	TSC1 Control Purpose	0 to 31
0	Torque/Speed Control 1	4191	Engine Requested Torque -  High Resolution	0 to 0.875%
0	Torque/Speed Control 1	4206	Message Counter	0 to 15
0	Torque/Speed Control 1	4207	Message Checksum	0 to 15
256	Transmission Control 1	681	Transmission Gear Shift Inhibit Request	0 to 3
256	Transmission Control 1	682	Transmission Torque Converter Lockup Disable Request	0 to 3
256	Transmission Control 1	683	Disengage Driveline Request	0 to 3
256	Transmission Control 1	4242	Transmission Reverse Gear Shift Inhibit Request	0 to 3
256	Transmission Control 1	684	Requested Percent Clutch Slip	0 to 100 %
256	Transmission Control 1	525	Transmission Requested Gear	-125 to 125
256	Transmission Control 1	685	Disengage Differential Lock Request - Front Axle 1	0 to 3
256	Transmission Control 1	686	Disengage Differential Lock Request - Front Axle 2	0 to 3
256	Transmission Control 1	687	Disengage Differential Lock Request - Rear Axle 1	0 to 3
256	Transmission Control 1	688	Disengage Differential Lock Request - Rear Axle 2	0 to 3
256	Transmission Control 1	689	Disengage Differential Lock Request - Central	0 to 3
256	Transmission Control 1	690	Disengage Differential Lock Request - Central Front	0 to 3
256	Transmission Control 1	691	Disengage Differential Lock Request - Central Rear	0 to 3
256	Transmission Control 1	1852	Transmission Mode 1	0 to 3
256	Transmission Control 1	1853	Transmission Mode 2	0 to 3
256	Transmission Control 1	1854	Transmission Mode 3	0 to 3
256	Transmission Control 1	1855	Transmission Mode 4	0 to 3
256	Transmission Control 1	4255	Transmission Requested Launch Gear	0 to 15
256	Transmission Control 1	2985	Transmission Shift Selector Display Mode Switch	0 to 3
256	Transmission Control 1	4246	Transmission Mode 5	0 to 3
256	Transmission Control 1	4247	Transmission Mode 6	0 to 3
256	Transmission Control 1	4248	Transmission Mode 7	0 to 3
256	Transmission Control 1	4249	Transmission Mode 8	0 to 3
1024	External Brake Request	2920	External Acceleration Demand	-15.687 to +15.687 m/s²
1024	External Brake Request	2914	XBR EBI Mode	0 to 3
1024	External Brake Request	2915	XBR Priority	0 to 3
1024	External Brake Request	2916	XBR Control Mode	0 to 3
1024	External Brake Request	4099	XBR urgency	0 to 100 %
1024	External Brake Request	3189	XBR Message Counter	0 to 15
1024	External Brake Request	3188	XBR Message Checksum	0 to 15
1792	General Purpose Valve Pressure	4086	Valve Load Sense Pressure	"0 to 321,275 kPa"
1792	General Purpose Valve Pressure	4087	Valve Pilot Pressure	0 to 4000 kPa
1792	General Purpose Valve Pressure	4088	Valve Assembly Load sense Pressure	"0 to 321,275 kPa"
1792	General Purpose Valve Pressure	4089	Valve Assembly Supply Pressure	"0 to 321,275 kPa"
2048	Auxiliary Input/Output Status 5	4155	Auxiliary I/O Channel #6	"0 to 64,255 counts"
